Hog ID,Date,Weight (kg)
1,2025-04-05,80.8
1,2025-04-12,83.0
1,2025-04-19,84.0
1,2025-05-03,93.0
1,2025-05-10,98.0
2,2025-04-05,56.8
2,2025-04-12,61.0
2,2025-04-19,65.0
2,2025-05-03,74.8
2,2025-05-10,81.0
2,2025-05-17,83.6
3,2025-04-05,41.8
3,2025-04-12,46.0
3,2025-04-19,48.6
3,2025-05-03,56.8
3,2025-05-10,59.4
3,2025-05-17,61.8
3,2025-05-24,65.8
4,2025-04-05,11.6
4,2025-04-12,13.0
4,2025-04-19,14.4
4,2025-05-03,17.2
4,2025-05-10,19.4
4,2025-05-17,19.0
4,2025-05-24,22.4
4,2025-05-31,22.0
4,2025-06-07,23.0
4,2025-06-14,25.8
4,2025-06-21,28.0
4,2025-06-28,32.6
4,2025-07-05,35.0
4,2025-07-12,40.8
4,2025-07-19,40.6
4,2025-07-27,45.4
5,2025-04-05,13.6
5,2025-04-12,14.8
5,2025-04-19,16.6
5,2025-05-03,20.0
5,2025-05-10,22.4
5,2025-05-17,23.6
5,2025-05-24,25.2
5,2025-05-31,28.4
5,2025-06-07,28.2
5,2025-06-14,30.8
5,2025-06-21,34.8
5,2025-06-28,38.0
5,2025-07-05,40.6
5,2025-07-12,45.6
5,2025-07-19,45.2
5,2025-07-27,48.8
6,2025-04-05,14.0
6,2025-04-12,16.2
6,2025-04-19,17.2
6,2025-05-03,19.2
6,2025-05-10,20.6
6,2025-05-17,23.0
6,2025-05-24,23.6
6,2025-05-31,26.0
6,2025-06-07,24.6
6,2025-06-14,25.6
6,2025-06-21,26.6
6,2025-06-28,30.2
6,2025-07-05,30.2
6,2025-07-12,34.6
6,2025-07-19,35.0
6,2025-07-27,36.4
7,2025-04-05,13.6
7,2025-04-12,14.4
7,2025-04-19,15.6
7,2025-05-03,20.0
7,2025-05-10,23.2
7,2025-05-17,24.0
7,2025-05-24,25.0
7,2025-05-31,27.2
7,2025-06-07,28.8
7,2025-06-14,31.6
7,2025-06-21,35.6
7,2025-06-28,40.4
7,2025-07-05,41.0
7,2025-07-12,45.4
7,2025-07-19,47.8
7,2025-07-27,51.0
8,2025-04-05,12.8
8,2025-04-12,14.4
8,2025-04-19,15.8
8,2025-05-03,18.4
8,2025-05-10,20.2
8,2025-05-17,20.8
8,2025-05-24,23.6
8,2025-05-31,20.6
8,2025-06-07,19.4
8,2025-06-14,22.8
8,2025-06-21,23.6
8,2025-06-28,22.6
8,2025-07-05,27.6
8,2025-07-12,33.0
8,2025-07-19,32.8
8,2025-07-27,34.6
9,2025-04-05,13.4
9,2025-04-12,14.6
9,2025-04-19,15.4
9,2025-05-03,19.6
9,2025-05-10,21.8
9,2025-05-17,23.0
9,2025-05-24,24.8
9,2025-05-31,28.4
9,2025-06-07,31.0
9,2025-06-14,35.8
9,2025-06-21,39.8
9,2025-06-28,43.6
9,2025-07-05,47.0
9,2025-07-12,50.2
9,2025-07-19,51.2
9,2025-07-27,55.4
10,2025-04-05,12.8
10,2025-04-12,14.0
10,2025-04-19,15.4
10,2025-05-03,18.4
10,2025-05-10,20.4
10,2025-05-17,21.0
10,2025-05-24,22.4
10,2025-05-31,22.8
10,2025-06-07,22.2
10,2025-06-14,24.4
10,2025-06-21,27.0
10,2025-06-28,32.2
10,2025-07-05,31.2
10,2025-07-12,35.4
10,2025-07-19,35.6
10,2025-07-27,37.8
11,2025-04-05,12.8
11,2025-04-12,13.8
11,2025-04-19,15.0
11,2025-05-03,18.2
11,2025-05-10,20.6
11,2025-05-17,20.2
11,2025-05-24,21.6
11,2025-05-31,22.6
11,2025-06-07,23.2
11,2025-06-14,25.2
11,2025-06-21,27.2
11,2025-06-28,31.4
11,2025-07-05,34.0
11,2025-07-12,39.4
11,2025-07-19,39.0
11,2025-07-27,43.2
12,2025-04-05,13.2
12,2025-04-12,15.0
12,2025-04-19,16.8
12,2025-05-03,19.6
12,2025-05-10,22.6
12,2025-05-17,24.6
12,2025-05-24,27.8
12,2025-05-31,31.6
12,2025-06-07,36.6
12,2025-06-14,38.8
12,2025-06-21,42.8
12,2025-06-28,46.6
12,2025-07-05,51.4
12,2025-07-12,54.6
12,2025-07-19,54.8
12,2025-07-27,59.2
13,2025-04-05,10.8
13,2025-04-12,12.8
13,2025-04-19,14.4
13,2025-05-03,16.4
13,2025-05-10,18.4
13,2025-05-17,18.8
13,2025-05-24,20.6
13,2025-05-31,21.4
13,2025-06-07,21.4
13,2025-06-14,22.8
13,2025-06-21,27.0
13,2025-06-28,29.8
13,2025-07-05,34.8
13,2025-07-12,39.8
13,2025-07-19,39.8
13,2025-07-27,42.6
14,2025-04-05,14.4
14,2025-04-12,15.6
14,2025-04-19,17.0
14,2025-05-03,20.2
14,2025-05-10,22.2
14,2025-05-17,24.0
14,2025-05-24,26.6
14,2025-05-31,31.0
14,2025-06-07,35.4
14,2025-06-14,39.2
14,2025-06-21,45.0
14,2025-06-28,46.6
14,2025-07-05,48.0
14,2025-07-12,52.2
14,2025-07-19,53.8
14,2025-07-27,56.4
18,2025-05-31,70.0
18,2025-06-07,74.0
18,2025-06-21,85.2
